=== CPU Statistics Log ===
Started: 2025-11-20 00:20:31 (UTC Time)
========================================

[2025-11-20 02:06:31] Global CPU Usage: 18.22% | Cores: 8 | Per-core: [CPU0: 5.00%, CPU1: 5.26%, CPU2: 10.53%, CPU3: 5.00%, CPU4: 5.00%, CPU5: 10.00%, CPU6: 5.00%, CPU7: 100.00%]
[2025-11-20 02:08:31] Global CPU Usage: 11.74% | Cores: 8 | Per-core: [CPU0: 10.53%, CPU1: 10.00%, CPU2: 14.29%, CPU3: 10.00%, CPU4: 10.00%, CPU5: 10.00%, CPU6: 9.09%, CPU7: 20.00%]
[2025-11-20 02:10:31] Global CPU Usage: 13.99% | Cores: 8 | Per-core: [CPU0: 10.00%, CPU1: 9.52%, CPU2: 10.00%, CPU3: 23.81%, CPU4: 15.00%, CPU5: 14.29%, CPU6: 15.00%, CPU7: 14.29%]
[2025-11-20 02:12:31] Global CPU Usage: 4.91% | Cores: 8 | Per-core: [CPU0: 4.76%, CPU1: 4.76%, CPU2: 5.00%, CPU3: 5.00%, CPU4: 0.00%, CPU5: 5.00%, CPU6: 5.26%, CPU7: 9.52%]
[2025-11-20 02:14:31] Global CPU Usage: 17.54% | Cores: 8 | Per-core: [CPU0: 5.00%, CPU1: 5.26%, CPU2: 5.26%, CPU3: 10.00%, CPU4: 5.26%, CPU5: 0.00%, CPU6: 9.52%, CPU7: 100.00%]
[2025-11-20 02:16:31] Global CPU Usage: 21.63% | Cores: 8 | Per-core: [CPU0: 15.79%, CPU1: 20.00%, CPU2: 23.81%, CPU3: 20.00%, CPU4: 23.81%, CPU5: 15.79%, CPU6: 23.81%, CPU7: 30.00%]
[2025-11-20 02:18:31] Global CPU Usage: 5.60% | Cores: 8 | Per-core: [CPU0: 0.00%, CPU1: 10.00%, CPU2: 0.00%, CPU3: 5.26%, CPU4: 5.00%, CPU5: 9.52%, CPU6: 5.00%, CPU7: 10.00%]
[2025-11-20 02:20:31] Global CPU Usage: 5.00% | Cores: 8 | Per-core: [CPU0: 5.00%, CPU1: 0.00%, CPU2: 5.00%, CPU3: 5.00%, CPU4: 10.00%, CPU5: 0.00%, CPU6: 5.00%, CPU7: 10.00%]
[2025-11-20 02:22:31] Global CPU Usage: 20.61% | Cores: 8 | Per-core: [CPU0: 20.00%, CPU1: 10.53%, CPU2: 5.56%, CPU3: 10.53%, CPU4: 45.00%, CPU5: 30.00%, CPU6: 22.22%, CPU7: 21.05%]
[2025-11-20 02:24:31] Global CPU Usage: 6.23% | Cores: 8 | Per-core: [CPU0: 10.00%, CPU1: 10.53%, CPU2: 5.00%, CPU3: 9.52%, CPU4: 0.00%, CPU5: 5.00%, CPU6: 5.00%, CPU7: 4.76%]
[2025-11-20 02:26:31] Global CPU Usage: 21.11% | Cores: 8 | Per-core: [CPU0: 20.00%, CPU1: 40.91%, CPU2: 14.29%, CPU3: 28.57%, CPU4: 15.79%, CPU5: 20.00%, CPU6: 15.00%, CPU7: 14.29%]
[2025-11-20 02:28:31] Global CPU Usage: 18.79% | Cores: 8 | Per-core: [CPU0: 5.00%, CPU1: 0.00%, CPU2: 5.00%, CPU3: 15.00%, CPU4: 9.52%, CPU5: 5.26%, CPU6: 10.53%, CPU7: 100.00%]
[2025-11-20 02:30:31] Global CPU Usage: 5.51% | Cores: 8 | Per-core: [CPU0: 5.00%, CPU1: 5.00%, CPU2: 14.29%, CPU3: 0.00%, CPU4: 5.00%, CPU5: 0.00%, CPU6: 9.52%, CPU7: 5.26%]
[2025-11-20 02:32:31] Global CPU Usage: 5.00% | Cores: 8 | Per-core: [CPU0: 0.00%, CPU1: 0.00%, CPU2: 0.00%, CPU3: 0.00%, CPU4: 5.00%, CPU5: 15.00%, CPU6: 10.00%, CPU7: 10.00%]
[2025-11-20 02:34:31] Global CPU Usage: 2.44% | Cores: 8 | Per-core: [CPU0: 0.00%, CPU1: 9.52%, CPU2: 5.00%, CPU3: 0.00%, CPU4: 0.00%, CPU5: 0.00%, CPU6: 5.00%, CPU7: 0.00%]
